st_name,st_code,dcode,dist_name,total_project,project_area,project_cost
UTTAR PRADESH,9,171,MORADABAD,1,5042,1109.24
UTTAR PRADESH,9,174,PRATAPGARH,2,10087,2219.14
UTTAR PRADESH,9,120,PRAYAGRAJ,2,10292,2264.24
UTTAR PRADESH,9,175,RAE BARELI,1,5047,1110.34
UTTAR PRADESH,9,176,RAMPUR,1,4872,1071.84
UTTAR PRADESH,9,177,SAHARANPUR,2,10460,2301.2
UTTAR PRADESH,9,659,SAMBHAL,2,9965,2192.3
UTTAR PRADESH,9,184,SONBHADRA,3,13250,2915
UTTAR PRADESH,9,187,VARANASI,2,10460,2301.2
WEST BENGAL,19,305,BANKURA,6,28800,8064
WEST BENGAL,19,307,BIRBHUM,2,7600,1672
WEST BENGAL,19,703,Jhargram,4,22300,6244
WEST BENGAL,19,318,MEDINIPUR WEST,2,9600,2688
WEST BENGAL,19,704,PASCHIM BARDHAMAN,2,11000,2420
WEST BENGAL,19,321,PURULIA,11,49900,13972
